2018/6/1	224 	393	67	531	643	3578 	60 	28.62
2018/6/2	224 	393	67	531	643	3411 	52 	27.29
2018/6/3	224 	393	67	531	643	4253 	42 	34.02
2018/6/4	224 	393	67	531	643	3741 	63 	29.93
2018/6/5	224 	393	67	531	643	3621 	46 	28.97
2018/6/6	224 	393	67	531	643	3642 	39 	29.14
2018/6/7	224 	393	67	531	643	4521 	57 	36.17
2018/6/8	224 	393	67	531	643	3890 	56 	31.12
2018/6/9	224 	393	67	531	643	3570 	63 	28.56
2018/6/10	224 	393	67	531	643	4270 	53 	34.16
2018/6/11	224 	393	67	531	643	5098 	76 	40.78
2018/6/12	224 	393	67	531	643	6901 	84 	55.21
2018/6/13	224 	393	67	531	643	3578 	64 	28.62
2018/6/14	224 	393	67	531	643	4742 	74 	37.94
2018/6/15	224 	393	67	531	643	3654 	45 	29.23
2018/6/16	224 	393	67	531	643	4683 	41 	37.46
2018/6/17	224 	393	67	531	643	5032 	64 	40.26
2018/6/18	224 	393	67	531	643	6034 	42 	48.27
2018/6/19	224 	393	67	531	643	4065 	63 	32.52
2018/6/20	224 	393	67	531	643	5032 	78 	40.26
2018/6/21	224 	393	67	531	643	3342 	67 	26.74
2018/6/22	224 	393	67	531	643	3257 	58 	26.06
2018/6/23	224 	393	67	531	643	3622 	59 	28.98
2018/6/24	224 	393	67	531	643	2854 	35 	22.83
2018/6/25	224 	393	67	531	643	3742 	34 	29.94
2018/6/26	224 	393	67	531	643	4108 	63 	32.86
2018/6/27	224 	393	67	531	643	4865 	67 	38.92
2018/6/28	224 	393	67	531	643	6934 	81 	55.47
2018/6/29	224 	393	67	531	643	8622 	83 	68.98
2018/6/30	224 	393	67	531	643	4029 	49 	32.23
2018/6/1	224 	393	67	531	644	3289 	73 	26.31
2018/6/2	224 	393	67	531	644	4543 	86 	36.34
2018/6/3	224 	393	67	531	644	4843 	74 	38.74
2018/6/4	224 	393	67	531	644	4741 	93 	37.93
2018/6/5	224 	393	67	531	644	5233 	57 	41.86
2018/6/6	224 	393	67	531	644	4522 	93 	36.18
2018/6/7	224 	393	67	531	644	4646 	49 	37.17
2018/6/8	224 	393	67	531	644	4632 	64 	37.06
2018/6/9	224 	393	67	531	644	5620 	84 	44.96
2018/6/10	224 	393	67	531	644	4671 	78 	37.37
2018/6/11	224 	393	67	531	644	5302 	89 	42.42
2018/6/12	224 	393	67	531	644	7853 	122 	62.82
2018/6/13	224 	393	67	531	644	7008 	125 	56.06
2018/6/14	224 	393	67	531	644	5023 	60 	40.18
2018/6/15	224 	393	67	531	644	8091 	103 	64.73
2018/6/16	224 	393	67	531	644	6472 	74 	51.78
2018/6/17	224 	393	67	531	644	3656 	72 	29.25
2018/6/18	224 	393	67	531	644	3575 	67 	28.60
2018/6/19	224 	393	67	531	644	5340 	58 	42.72
2018/6/20	224 	393	67	531	644	5032 	96 	40.26
2018/6/21	224 	393	67	531	644	4023 	67 	32.18
2018/6/22	224 	393	67	531	644	5202 	64 	41.62
2018/6/23	224 	393	67	531	644	3042 	59 	24.34
2018/6/24	224 	393	67	531	644	3402 	69 	27.22
2018/6/25	224 	393	67	531	644	3470 	93 	27.76
2018/6/26	224 	393	67	531	644	4502 	140 	36.02
2018/6/27	224 	393	67	531	644	6274 	131 	50.19
2018/6/28	224 	393	67	531	644	7393 	152 	59.14
2018/6/29	224 	393	67	531	644	7648 	102 	61.18
2018/6/30	224 	393	67	531	644	7763 	120 	62.10
2018/6/1	224 	393	67	529	645	4750 	81 	57.00
2018/6/2	224 	393	67	529	645	4384 	65 	52.61
2018/6/3	224 	393	67	529	645	6335 	86 	76.02
2018/6/4	224 	393	67	529	645	5446 	108 	65.35
2018/6/5	224 	393	67	529	645	5754 	121 	69.05
2018/6/6	224 	393	67	529	645	6844 	123 	82.13
2018/6/7	224 	393	67	529	645	7854 	156 	94.25
2018/6/8	224 	393	67	529	645	6869 	101 	82.43
2018/6/9	224 	393	67	529	645	9075 	82 	108.90
2018/6/10	224 	393	67	529	645	5765 	92 	69.18
2018/6/11	224 	393	67	529	645	8544 	131 	102.53
2018/6/12	224 	393	67	529	645	7578 	151 	90.94
2018/6/13	224 	393	67	529	645	8544 	89 	102.53
2018/6/14	224 	393	67	529	645	6757 	91 	81.08
2018/6/15	224 	393	67	529	645	8547 	131 	102.56
2018/6/16	224 	393	67	529	645	7685 	129 	92.22
